date,open,high,low,close,volume,symbol,EMA_9,EMA_21,RSI_MA_14_20,ORB_High,ADX_14,Signal
2025-09-26T09:15:00.000000,12136.4,12162.1,12130.0,12133.0,87,ULTRACEMCO,12144.506442918992,12161.140357669783,39.873492440274234,12162.1,21.542414414644433,SELL
2025-09-26T09:20:00.000000,12133.0,12139.15,12100.0,12139.15,15,ULTRACEMCO,12143.435154335193,12159.141234245257,39.43417080067725,12162.1,22.38754219102835,SELL
2025-09-26T09:25:00.000000,12139.15,12139.15,12139.15,12139.15,0,ULTRACEMCO,12142.578123468154,12157.32384931387,39.182879837582554,12162.1,23.172303697670554,SELL
2025-09-26T09:30:00.000000,12139.15,12139.15,12118.0,12120.0,16,ULTRACEMCO,12138.062498774523,12153.930772103518,38.55919316784992,12162.1,24.659097784900894,SELL
2025-09-26T09:35:00.000000,12120.0,12120.0,12100.0,12100.0,8,ULTRACEMCO,12130.449999019618,12149.027974639563,37.65206899910486,12162.1,26.54940394978803,SELL
2025-09-26T09:40:00.000000,12100.0,12121.2,12100.0,12109.05,14,ULTRACEMCO,12126.169999215694,12145.393613308694,37.023408866465665,12162.1,28.206849737904303,SELL
2025-09-26T09:45:00.000000,12109.05,12120.0,12109.05,12120.0,6,ULTRACEMCO,12124.935999372556,12143.085103007903,36.80765439820354,12162.1,29.74590654115513,SELL
2025-09-26T09:50:00.000000,12120.0,12120.0,12104.9,12104.9,5,ULTRACEMCO,12120.928799498044,12139.613730007184,36.47318055361663,12162.1,31.30092648785122,SELL
2025-09-26T09:55:00.000000,12104.9,12115.8,12099.15,12109.95,41,ULTRACEMCO,12118.733039598435,12136.917027279258,36.3131664778145,12162.1,32.91712049513538,SELL
2025-09-26T10:00:00.000000,12109.95,12109.95,12095.0,12095.0,3,ULTRACEMCO,12113.986431678748,12133.10638843569,35.87516920217568,12162.1,34.5403582738868,SELL
2025-09-26T10:05:00.000000,12095.0,12095.0,12086.5,12086.5,3,ULTRACEMCO,12108.489145343,12128.869444032445,35.600315639069166,12162.1,36.28803329057416,SELL
